platform,product_name,brand,pack_display,price_rupees,qty,unit,weight_grams,url,product_name_clean,brand_clean,price_per_100g
JioMart,Gullon Sugar Free Short Bread Biscuits 330g,gullon,330g,362.0,,,330.0,https://www.jiomart.com/p/groceries/gullon-sugar-free-short-bread-biscuits-330g/611350653,gullon sugar free short bread biscuits 330g,Gullon,109.69696969696969
JioMart,Zero-G Bread Mix,zero-g,,353.0,,,,https://www.jiomart.com/p/groceries/zero-g-bread-mix/596504040,zero g bread mix,Zero-G,
JioMart,DELUSCIA COMBO PACK - MULTIGRAIN + MASALA BREAD STICKS,deluscia,,178.0,,,,https://www.jiomart.com/p/groceries/deluscia-combo-pack-multigrain-masala-bread-sticks/612149164,deluscia combo pack multigrain masala bread sticks,Deluscia,
JioMart,"CHATOKDE Nigella Seeds and Kalonji For Superfood,Indian Breads and Baked Goods , 100 Gram",chatokde,100 G,169.0,,,100.0,https://www.jiomart.com/p/groceries/chatokde-nigella-seeds-and-kalonji-for-superfood-indian-breads-and-baked-goods-100-gram/603022158,chatokde nigella seeds and kalonji for superfood indian breads and baked goods 100 gram,Chatokde,169.0
JioMart,"CHATOKDE Nigella Seeds and Kalonji For Superfood,Indian Breads and Baked Goods , 200 Gram",chatokde,200 G,179.0,,,200.0,https://www.jiomart.com/p/groceries/chatokde-nigella-seeds-and-kalonji-for-superfood-indian-breads-and-baked-goods-200-gram/603022160,chatokde nigella seeds and kalonji for superfood indian breads and baked goods 200 gram,Chatokde,89.5
JioMart,"CHATOKDE Nigella Seeds and Kalonji For Superfood,Indian Breads and Baked Goods , 250 Gram",chatokde,250 G,199.0,,,250.0,https://www.jiomart.com/p/groceries/chatokde-nigella-seeds-and-kalonji-for-superfood-indian-breads-and-baked-goods-250-gram/603022159,chatokde nigella seeds and kalonji for superfood indian breads and baked goods 250 gram,Chatokde,79.60000000000001
JioMart,The Bake Shop Milk & Raisin Toast,unknown,,320.0,,,,https://www.jiomart.com/p/groceries/the-bake-shop-milk-raisin-toast/597459592,the bake shop milk raisin toast,Unknown,
JioMart,"CHATOKDE Nigella Seeds and Kalonji For Superfood,Indian Breads and Baked Goods , 900 Gram",chatokde,900 G,429.0,,,900.0,https://www.jiomart.com/p/groceries/chatokde-nigella-seeds-and-kalonji-for-superfood-indian-breads-and-baked-goods-900-gram/603022162,chatokde nigella seeds and kalonji for superfood indian breads and baked goods 900 gram,Chatokde,47.66666666666667
JioMart,"CHATOKDE Nigella Seeds and Kalonji For Superfood,Indian Breads and Baked Goods , 500 Gram",chatokde,500 G,279.0,,,500.0,https://www.jiomart.com/p/groceries/chatokde-nigella-seeds-and-kalonji-for-superfood-indian-breads-and-baked-goods-500-gram/603022163,chatokde nigella seeds and kalonji for superfood indian breads and baked goods 500 gram,Chatokde,55.800000000000004
JioMart,DELUSCIA COMBO PACK - MULTIGRAIN BREAD STICK + BEETROOT CRACKERS,deluscia,,225.0,,,,https://www.jiomart.com/p/groceries/deluscia-combo-pack-multigrain-bread-stick-beetroot-crackers/612148946,deluscia combo pack multigrain bread stick beetroot crackers,Deluscia,
JioMart,DELUSCIA MASALA BREAD STICK,deluscia,,99.0,,,,https://www.jiomart.com/p/groceries/deluscia-masala-bread-stick/612126924,deluscia masala bread stick,Deluscia,
JioMart,DHAWAK Nigella Seeds and Kalonji For Superfood and Indian Breads -100 Gram,dhawak,100 G,169.0,,,100.0,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-100-gram/612473112,dhawak nigella seeds and kalonji for superfood and indian breads 100 gram,Dhawak,169.0
JioMart,DHAWAK Nigella Seeds and Kalonji For Superfood and Indian Breads - 200 gm,dhawak,200 g,179.0,,,200.0,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-200-gm/612480257,dhawak nigella seeds and kalonji for superfood and indian breads 200 gm,Dhawak,89.5
JioMart,DHAWAK Nigella Seeds and Kalonji For Superfood and Indian Breads - 400 gm,dhawak,400 g,249.0,,,400.0,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-400-gm/612480574,dhawak nigella seeds and kalonji for superfood and indian breads 400 gm,Dhawak,62.25000000000001
JioMart,DHAWAK Nigella Seeds and Kalonji For Superfood and Indian Breads - 500gm,dhawak,500g,279.0,,,500.0,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-500gm/612481218,dhawak nigella seeds and kalonji for superfood and indian breads 500gm,Dhawak,55.800000000000004
JioMart,DHAWAK Nigella Seeds and Kalonji For Superfood and Indian Breads - 250gm,dhawak,250g,199.0,,,250.0,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-250gm/612484326,dhawak nigella seeds and kalonji for superfood and indian breads 250gm,Dhawak,79.60000000000001
JioMart,Dhawak Nigella Seeds and Kalonji For Superfood and Indian Breads - 900gm,dhawak,900g,429.0,,,900.0,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-900gm/612480953,dhawak nigella seeds and kalonji for superfood and indian breads 900gm,Dhawak,47.66666666666667
JioMart,DHAWAK Nigella Seeds and Kalonji For Superfood and Indian Breads - 1kg,dhawak,1kg,499.0,,,1000.0,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-1kg/612481022,dhawak nigella seeds and kalonji for superfood and indian breads 1kg,Dhawak,49.9
JioMart,The Health Factory Zero Maida Burger Bun 120 g,the health factory,120 g,37.0,,,120.0,https://www.jiomart.com/p/groceries/the-health-factory-zero-maida-burger-bun-120-g/611109885,the health factory zero maida burger bun 120 g,The Health Factory,30.833333333333336
