platform,product_name,brand,pack_display,price_rupees,qty,unit,weight_grams,url
JioMart,"CHATOKDE Nigella Seeds and Kalonji For Superfood,Indian Breads and Baked Goods , 500 Gram",Chatokde,500 G,279.0,,,,https://www.jiomart.com/p/groceries/chatokde-nigella-seeds-and-kalonji-for-superfood-indian-breads-and-baked-goods-500-gram/603022163
JioMart,DELUSCIA COMBO PACK - MULTIGRAIN BREAD STICK + BEETROOT CRACKERS,Deluscia,,225.0,,,,https://www.jiomart.com/p/groceries/deluscia-combo-pack-multigrain-bread-stick-beetroot-crackers/612148946
JioMart,DELUSCIA MASALA BREAD STICK,Deluscia,,99.0,,,,https://www.jiomart.com/p/groceries/deluscia-masala-bread-stick/612126924
JioMart,DHAWAK Nigella Seeds and Kalonji For Superfood and Indian Breads -100 Gram,Dhawak,100 G,169.0,,,,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-100-gram/612473112
JioMart,DHAWAK Nigella Seeds and Kalonji For Superfood and Indian Breads - 200 gm,Dhawak,200 g,179.0,,,,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-200-gm/612480257
JioMart,DHAWAK Nigella Seeds and Kalonji For Superfood and Indian Breads - 400 gm,Dhawak,400 g,249.0,,,,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-400-gm/612480574
JioMart,DHAWAK Nigella Seeds and Kalonji For Superfood and Indian Breads - 500gm,Dhawak,500g,279.0,,,,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-500gm/612481218
JioMart,DHAWAK Nigella Seeds and Kalonji For Superfood and Indian Breads - 250gm,Dhawak,250g,199.0,,,,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-250gm/612484326
JioMart,Dhawak Nigella Seeds and Kalonji For Superfood and Indian Breads - 900gm,Dhawak,900g,429.0,,,,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-900gm/612480953
JioMart,DHAWAK Nigella Seeds and Kalonji For Superfood and Indian Breads - 1kg,Dhawak,1kg,499.0,,,1000.0,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-1kg/612481022
