product_name,brand,weight_grams,platform_1,price_1,price_per_100g_1,url_1,platform_2,price_2,price_per_100g_2,url_2,similarity_score,price_diff,price_diff_pct,unit_price_diff,unit_price_diff_pct,cheaper_platform,best_price,savings
The Health Factory Zero Maida Milk Bread | Clean Label - Not Brown,The Health Factory,250.0,Zepto,57.0,22.8,,JioMart,60.0,24.0,https://www.jiomart.com/p/groceries/the-health-factory-zero-maida-milk-bread-250-g/611105512,0.7066666666666667,3.0,5.263157894736842,1.1999999999999993,5.263157894736839,Zepto,57.0,3.0
The Health Factory Zero Maida Bombay Pav | Clean Label - Not Brown,The Health Factory,,Zepto,38.0,,,JioMart,40.0,25.64102564102564,https://www.jiomart.com/p/groceries/the-health-factory-maida-bombay-pav-156-g/609461121,0.7066666666666667,2.0,5.263157894736842,,,Zepto,38.0,2.0
